epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.1567,2.99927,2.58377,3.32643,0.5393,0.38421,0.43948,0.21344,2.15433,2.20455,2.5941,0.000661376,0.000661376,0.000661376
2,140.867,1.56711,1.07548,1.76062,0.90783,0.84435,0.9271,0.6309,1.16353,0.8277,1.47,0.00130175,0.00130175,0.00130175
3,200.967,1.38634,0.86244,1.56335,0.9133,0.88101,0.94654,0.66425,1.11535,0.70739,1.39685,0.00191572,0.00191572,0.00191572
4,261.342,1.27646,0.7605,1.47086,0.92315,0.89441,0.96169,0.71091,0.98498,0.62031,1.29706,0.0018812,0.0018812,0.0018812
5,320.299,1.18656,0.68348,1.40488,0.94894,0.92298,0.97147,0.70024,1.02057,0.5619,1.30049,0.0018416,0.0018416,0.0018416
6,379.019,1.15189,0.65342,1.37295,0.93251,0.93166,0.97224,0.73338,0.93895,0.53217,1.24469,0.001802,0.001802,0.001802
7,441.322,1.08432,0.6034,1.3254,0.93764,0.92751,0.97528,0.73977,0.90685,0.51131,1.22623,0.0017624,0.0017624,0.0017624
8,499.705,1.03859,0.57917,1.29916,0.95395,0.93135,0.97903,0.76127,0.8409,0.47153,1.16361,0.0017228,0.0017228,0.0017228
9,561.233,1.024,0.566,1.28403,0.96288,0.9195,0.97699,0.76017,0.86478,0.48091,1.2024,0.0016832,0.0016832,0.0016832
10,621.708,0.99512,0.54306,1.25813,0.94802,0.94668,0.97824,0.7514,0.88372,0.46612,1.19309,0.0016436,0.0016436,0.0016436
11,682.488,0.99177,0.53566,1.25293,0.9576,0.94442,0.98176,0.74124,0.94413,0.47085,1.23209,0.001604,0.001604,0.001604
12,742.571,0.94242,0.50639,1.21612,0.93999,0.94459,0.98238,0.7817,0.78615,0.45787,1.12936,0.0015644,0.0015644,0.0015644
13,803.134,0.91867,0.49678,1.20473,0.95436,0.95818,0.98475,0.78047,0.83617,0.42186,1.15785,0.0015248,0.0015248,0.0015248
14,861.246,0.90353,0.48572,1.19456,0.95635,0.95068,0.98506,0.79029,0.79267,0.41953,1.13332,0.0014852,0.0014852,0.0014852
15,921.819,0.87842,0.47451,1.17759,0.9501,0.95545,0.98407,0.77622,0.81928,0.41592,1.15364,0.0014456,0.0014456,0.0014456
16,987.104,0.85333,0.45734,1.16093,0.95531,0.97125,0.98645,0.8011,0.75737,0.38603,1.11113,0.001406,0.001406,0.001406
17,1046.43,0.84084,0.45031,1.15064,0.94877,0.95452,0.98327,0.79151,0.7774,0.39296,1.12333,0.0013664,0.0013664,0.0013664
18,1107.01,0.81201,0.43189,1.13212,0.96795,0.96313,0.98941,0.79852,0.78721,0.38852,1.13851,0.0013268,0.0013268,0.0013268
19,1166.02,0.81024,0.4228,1.1259,0.97311,0.954,0.98511,0.78533,0.79942,0.38283,1.13822,0.0012872,0.0012872,0.0012872
20,1227.42,0.76193,0.40917,1.10072,0.96567,0.96132,0.99012,0.81182,0.74959,0.36884,1.10117,0.0012476,0.0012476,0.0012476
21,1288,0.76064,0.40693,1.09449,0.9777,0.96244,0.99022,0.82012,0.72876,0.35417,1.09346,0.001208,0.001208,0.001208
22,1347.81,0.74717,0.3981,1.0922,0.9756,0.96163,0.99048,0.82215,0.73346,0.35552,1.09569,0.0011684,0.0011684,0.0011684
23,1406.84,0.73336,0.39104,1.08492,0.96498,0.96503,0.98508,0.80702,0.76092,0.35727,1.1138,0.0011288,0.0011288,0.0011288
24,1469.12,0.71003,0.38278,1.06911,0.97217,0.96759,0.99036,0.81048,0.75013,0.34681,1.10935,0.0010892,0.0010892,0.0010892
25,1527.5,0.69994,0.37386,1.05971,0.97736,0.94774,0.98447,0.80362,0.76828,0.36652,1.11607,0.0010496,0.0010496,0.0010496
26,1587.5,0.68623,0.36872,1.05501,0.96804,0.96602,0.98844,0.80747,0.74056,0.3504,1.10017,0.00101,0.00101,0.00101
27,1647.51,0.67139,0.36344,1.04477,0.98031,0.96445,0.9896,0.8199,0.7264,0.33153,1.09161,0.0009704,0.0009704,0.0009704
28,1708.17,0.65269,0.35271,1.03416,0.98446,0.96018,0.99154,0.82277,0.73031,0.33274,1.09692,0.0009308,0.0009308,0.0009308
29,1767.75,0.64583,0.34664,1.02619,0.98294,0.96396,0.99048,0.82299,0.71776,0.32409,1.08997,0.0008912,0.0008912,0.0008912
30,1829.05,0.63797,0.34314,1.02226,0.98105,0.97543,0.99139,0.82318,0.73479,0.32367,1.10258,0.0008516,0.0008516,0.0008516
31,1887.33,0.6204,0.34007,1.01847,0.97853,0.97695,0.99222,0.8256,0.71783,0.31656,1.08696,0.000812,0.000812,0.000812
32,1947.17,0.61357,0.33475,1.0077,0.98116,0.97282,0.99179,0.82384,0.72453,0.3228,1.09382,0.0007724,0.0007724,0.0007724
33,2009.94,0.61035,0.33213,1.00779,0.97912,0.97334,0.99059,0.82475,0.73013,0.31836,1.08853,0.0007328,0.0007328,0.0007328
34,2067.66,0.59003,0.32597,0.99819,0.97887,0.96844,0.99131,0.8218,0.72137,0.32293,1.08356,0.0006932,0.0006932,0.0006932
35,2127.46,0.57738,0.31722,0.98814,0.98015,0.96811,0.99022,0.8302,0.71166,0.31369,1.0761,0.0006536,0.0006536,0.0006536
36,2187.15,0.56053,0.3097,0.98195,0.98351,0.96916,0.99223,0.83292,0.70399,0.30805,1.08243,0.000614,0.000614,0.000614
37,2247.38,0.55951,0.30777,0.98145,0.9812,0.97857,0.99228,0.82911,0.70987,0.30892,1.08447,0.0005744,0.0005744,0.0005744
38,2308.15,0.53702,0.29792,0.97059,0.98093,0.9681,0.99223,0.82847,0.71639,0.31045,1.0876,0.0005348,0.0005348,0.0005348
39,2367.23,0.54106,0.30135,0.97421,0.98361,0.97177,0.9928,0.83021,0.70824,0.3029,1.08518,0.0004952,0.0004952,0.0004952
40,2427.57,0.52653,0.29582,0.96628,0.98543,0.96916,0.99239,0.83071,0.7098,0.30167,1.08473,0.0004556,0.0004556,0.0004556
41,2491.47,0.70559,0.33564,1.07926,0.97972,0.97073,0.99028,0.84041,0.67584,0.30844,1.05946,0.000416,0.000416,0.000416
42,2548.92,0.68504,0.31849,1.05793,0.9799,0.97229,0.9913,0.84013,0.6699,0.29696,1.05539,0.0003764,0.0003764,0.0003764
43,2608.15,0.6627,0.30312,1.04786,0.98672,0.97069,0.99225,0.84247,0.65638,0.28631,1.04439,0.0003368,0.0003368,0.0003368
44,2665.41,0.65358,0.29919,1.03845,0.99071,0.977,0.99381,0.84393,0.65711,0.27996,1.04029,0.0002972,0.0002972,0.0002972
45,2727.24,0.64324,0.28863,1.03171,0.99098,0.97679,0.99383,0.85271,0.64834,0.27651,1.03319,0.0002576,0.0002576,0.0002576
